sample	hier_label	hier_label16	hier_label32	branch_length	label	color	annotation_name
2024.EXT.0725.1323.400_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1.1	FFFC0	VVU0	5.50410e-06		#33ffff	
2024.EXT.0725.1354.160_Bme_Germany	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1.2	FFFC1	VVU1	5.80990e-06		#33ffff	
n948	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.2	FFFC2	VVU2	3.05800e-07	76	#33ffff	
n949	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.2.1	FFFC2	VVU2	9.17300e-07	96	#33ffff	
2024.EXT.0725.1324.290_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.2.1.1	FFFC20	VVU20	2.44620e-06		#33ffff	
2024.EXT.0725.1325.520_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.2.1.2	FFFC28	VVU2G	3.05780e-06		#33ffff	
2024.EXT.0725.1326.510_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.2.2	FFFC3	VVU3	4.89250e-06		#33ffff	
n953	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2	FFFC4	VVU4	3.06000e-08	57	#33ffff	
n954	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2.1	FFFC4	VVU4	3.05800e-07	71	#33ffff	
n955	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2.1.1	FFFC4	VVU4	1.22310e-06	99	#33ffff	
n956	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2.1.1.1	FFFC40	VVU40	3.05800e-07	76	#33ffff	
2024.EXT.0725.1323.440_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2.1.1.1.1	FFFC40	VVU40	3.66940e-06		#33ffff	
2024.EXT.0725.1324.510_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2.1.1.1.2	FFFC44	VVU48	5.80990e-06		#33ffff	
2024.EXT.0725.1323.580_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2.1.1.2	FFFC48	VVU4G	5.19830e-06		#33ffff	
2024.EXT.0725.1323.500_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2.1.2	FFFC5	VVU5	5.19830e-06		#33ffff	
